,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-642.717,0.0920566,4.86642,4.7933,-651.321,-642.382,-635.281,2844.95,4349.24,27.3903,1.0016
raw_nu[1],-1.03603,0.00848215,0.688931,0.679686,-2.21469,-1.01334,0.031201,6655.43,5549.65,64.0765,1.00072
raw_nu[2],-0.323859,0.0062641,0.591698,0.594908,-1.30858,-0.318655,0.63836,8986.54,7267.87,86.5197,0.999986
raw_nu[3],0.292552,0.00627839,0.599769,0.589242,-0.686877,0.283747,1.27247,9220.15,6908.81,88.7688,0.999813
raw_nu[4],1.06547,0.00906362,0.694242,0.691106,-0.0237632,1.0458,2.24377,5967.39,6443.28,57.4522,0.999907
beta0[1],0.627495,0.0156809,0.917512,0.779579,-0.736192,0.553014,2.22749,3716.19,3571.83,35.7783,1.00119
beta0[2],1.26997,0.0154301,0.900109,0.79051,-0.0856361,1.21569,2.83084,3644.52,3595.2,35.0883,1.0012
beta0[3],1.63271,0.0174564,0.981234,0.877972,0.0778463,1.60244,3.30604,3169.53,4222.17,30.5153,1.00036
beta0[4],0.828809,0.0168964,0.930542,0.769154,-0.630576,0.793737,2.40808,3201.64,3311.97,30.8244,1.00138
beta0[5],0.0266677,0.0180801,0.981886,0.82428,-1.60455,0.0331179,1.61524,3013.3,3430.07,29.0111,1.00137
beta0[6],-0.0436323,0.0264702,0.879871,0.738004,-1.54991,-0.0143256,1.33399,1101.61,1897.64,10.6059,1.00398
beta0[7],-0.201321,0.0297343,0.876724,0.744587,-1.71877,-0.14723,1.10844,911.01,1958.31,8.77093,1.00312
beta0[8],-0.457009,0.0224107,0.823785,0.711959,-1.79593,-0.443906,0.850757,1335.95,2230.34,12.8621,1.00214
beta0[9],-1.17849,0.0369286,0.968366,0.775367,-3.02825,-1.00355,0.125149,811.615,2089.26,7.81398,1.00631
beta0[10],-1.06918,0.0284516,0.916589,0.838409,-2.58446,-1.06654,0.420162,1042.53,1966.54,10.0372,1.00402
beta1[1],-0.0293291,0.0181721,1.09462,0.985831,-1.89525,0.0229449,1.67479,3811.84,3805.29,36.6993,1.00097
beta1[2],1.48186,0.0247778,1.41582,1.33205,-0.818111,1.4545,3.82419,3280.97,3598.37,31.5882,1.0008
beta1[3],1.16511,0.0255697,1.44211,1.39569,-1.13481,1.10628,3.62953,3134.05,4443.81,30.1737,1.00067
beta1[4],0.380149,0.0218647,1.17709,1.0368,-1.54276,0.360972,2.33074,3036.67,3383.47,29.2362,1.00132
beta1[5],1.42406,0.0240232,1.30879,1.18855,-0.680202,1.40841,3.5976,2997.76,3253.87,28.8615,1.00156
beta1[6],-0.00632055,0.0197889,1.9919,1.9908,-3.25685,-0.0148918,3.28704,10156.7,6030.45,97.7855,1.00133
beta1[7],-0.0366018,0.0184466,1.98104,1.9741,-3.3016,-0.0375271,3.23565,11644.7,6124.9,112.112,0.99985
beta1[8],0.000606618,0.019989,1.99405,1.98562,-3.29616,0.0166181,3.23231,9986.68,5809.32,96.1487,1.00123
beta1[9],0.0050997,0.0195378,2.02657,2.07997,-3.33286,0.0478883,3.27013,10910.3,5748.2,105.041,1.00013
beta1[10],-0.0348986,0.0189272,2.00288,2.03763,-3.2843,-0.0438874,3.27932,11284.9,6239.73,108.648,1.00042
beta2[1],0.0215537,0.0186662,1.99646,1.9826,-3.28379,0.0245056,3.38028,11484.9,5818.34,110.574,1.00073
beta2[2],0.0112323,0.0197523,2.01926,1.98193,-3.34358,-0.00314212,3.34305,10528.7,5760.96,101.367,1.00053
beta2[3],-0.0147913,0.0197027,2.00931,2.00681,-3.31131,-0.023822,3.27084,10429.1,6133.73,100.408,1.00082
beta2[4],0.0169117,0.0196255,2.00123,2.00027,-3.33567,0.0304918,3.3094,10446.1,5913.96,100.572,1.00035
beta2[5],-0.00912804,0.0194779,2.0327,2.03396,-3.33502,-0.0169023,3.30529,10999.2,5952.73,105.897,1.00006
beta2[6],-0.756177,0.0400484,1.24938,1.10504,-2.71049,-0.819726,1.40914,1000.71,1953.57,9.63449,1.00466
beta2[7],-0.642609,0.0428152,1.23924,1.12531,-2.52743,-0.735035,1.52901,886.335,1779.23,8.53336,1.00345
beta2[8],0.347484,0.0322505,1.12712,1.01101,-1.60254,0.390608,2.13774,1261.02,2094.26,12.1407,1.00265
beta2[9],-1.29322,0.0661434,1.72071,1.6552,-3.96426,-1.4544,1.69687,734.449,2255.46,7.07105,1.00627
beta2[10],0.351113,0.0449603,1.31112,1.15322,-2.00122,0.453543,2.30072,948.17,1770.66,9.12869,1.00402
beta12[1],0.0082884,0.0181078,2.04063,2.03575,-3.39012,0.0310576,3.3531,12714.5,6272.64,122.412,1.00139
beta12[2],0.0239315,0.0194578,1.99522,1.96506,-3.278,0.0206104,3.27288,10551.2,5726.69,101.584,1.00116
beta12[3],0.00111358,0.0191901,1.96594,1.95344,-3.27344,-0.010868,3.24588,10536.1,6200.63,101.439,1.00008
beta12[4],0.0247205,0.0207655,2.00536,1.99986,-3.29279,0.0440598,3.35321,9375.55,5728.14,90.2649,1.00185
beta12[5],0.00427889,0.0192562,2.02212,1.98456,-3.34557,0.0124782,3.29471,11066.8,6018.33,106.547,1.00024
beta12[6],0.0345769,0.0202427,2.04276,2.04098,-3.30246,0.00515629,3.45031,10251.0,5373.7,98.6939,1.0022
beta12[7],-0.0083072,0.0192004,2.03127,2.0562,-3.2841,-0.0221263,3.35973,11263.6,5557.18,108.443,1.00013
beta12[8],0.00654359,0.0191619,1.98454,1.94354,-3.32612,0.000825613,3.29081,10736.3,6652.19,103.366,1.00013
beta12[9],-0.0180387,0.0199688,2.01163,2.01847,-3.30137,-0.00596509,3.29292,10183.0,6008.04,98.0384,1.00036
beta12[10],-0.00264957,0.0180437,1.97609,1.96913,-3.23997,-0.0190695,3.26968,12043.5,5858.39,115.951,1.00034
nu[1],0.0763167,0.00069333,0.0448289,0.0440488,0.0179839,0.0676813,0.163825,4188.12,5446.14,40.3219,1.00068
nu[2],0.142778,0.000931812,0.0614988,0.0700197,0.0476553,0.139916,0.247076,4373.27,5362.06,42.1045,1.00024
nu[3],0.252036,0.00113211,0.0814648,0.0822254,0.109103,0.257234,0.381455,5248.39,5665.41,50.5299,1.00041
