,R_hat
theta[107],1.00373
theta[177],1.00352
theta[2],1.00301
b[7],1.00291
theta[188],1.00288
theta[117],1.0027
"prob_correct[191,26]",1.00255
"eta[191,26]",1.00255
theta[21],1.00251
"eta[151,7]",1.00237
"prob_correct[151,7]",1.00237
b[11],1.00226
"prob_correct[64,5]",1.00225
"eta[64,5]",1.00225
theta[73],1.0022
theta[157],1.00212
theta[40],1.00205
theta[174],1.00205
theta[77],1.00203
theta[181],1.00203
theta[195],1.00202
"eta[16,5]",1.002
"prob_correct[16,5]",1.002
theta[70],1.00191
"prob_correct[36,26]",1.0019
"eta[36,26]",1.0019
"eta[150,26]",1.00188
"prob_correct[150,26]",1.00188
theta[105],1.00186
"prob_correct[89,23]",1.00179
"eta[89,23]",1.00179
"prob_correct[182,26]",1.00177
"eta[182,26]",1.00177
theta[149],1.00176
theta[197],1.00176
"prob_correct[40,7]",1.00175
"eta[40,7]",1.00175
theta[168],1.00174
"eta[143,10]",1.00171
theta[98],1.00171
b[22],1.00171
"prob_correct[143,10]",1.00171
"prob_correct[136,5]",1.0017
"eta[136,5]",1.0017
"prob_correct[49,7]",1.00169
"prob_correct[14,7]",1.00169
"eta[49,7]",1.00169
"eta[14,7]",1.00169
theta[136],1.00168
"eta[69,5]",1.00167
b[5],1.00167
"prob_correct[124,5]",1.00167
"eta[124,5]",1.00167
"prob_correct[69,5]",1.00167
"prob_correct[147,11]",1.00166
"eta[147,11]",1.00166
theta[80],1.00165
"eta[171,11]",1.00164
"prob_correct[171,11]",1.00164
"eta[198,22]",1.00164
"prob_correct[198,22]",1.00164
theta[104],1.00164
"prob_correct[128,7]",1.00162
theta[7],1.00162
"eta[128,7]",1.00162
theta[62],1.0016
"prob_correct[6,11]",1.00158
"eta[6,11]",1.00158
theta[146],1.00158
"prob_correct[98,26]",1.00157
"prob_correct[21,5]",1.00157
"eta[98,26]",1.00157
"eta[6,14]",1.00157
"eta[21,5]",1.00157
"prob_correct[54,13]",1.00157
"prob_correct[6,14]",1.00157
"eta[54,13]",1.00157
"prob_correct[190,23]",1.00156
"eta[169,8]",1.00156
"prob_correct[96,14]",1.00156
"eta[190,23]",1.00156
"eta[77,16]",1.00156
"prob_correct[77,16]",1.00156
"prob_correct[169,8]",1.00156
"eta[96,14]",1.00156
"eta[34,11]",1.00155
"prob_correct[68,5]",1.00155
"eta[128,16]",1.00155
"prob_correct[34,11]",1.00155
"eta[119,26]",1.00155
"prob_correct[128,16]",1.00155
"prob_correct[119,26]",1.00155
"eta[68,5]",1.00155
theta[34],1.00154
theta[6],1.00154
b[23],1.00153
"prob_correct[29,23]",1.00153
"eta[29,23]",1.00153
"eta[127,7]",1.00152
"prob_correct[127,7]",1.00152
"prob_correct[5,7]",1.00152
"eta[5,7]",1.00152
theta[123],1.00151
theta[187],1.00151
"eta[105,5]",1.0015
"prob_correct[105,5]",1.0015
"eta[115,7]",1.0015
"prob_correct[115,7]",1.0015
"prob_correct[60,24]",1.00149
"eta[60,24]",1.00149
b[8],1.00149
"prob_correct[73,23]",1.00148
"eta[73,23]",1.00148
theta[29],1.00148
"eta[150,11]",1.00146
"prob_correct[150,11]",1.00146
"prob_correct[185,7]",1.00144
"eta[185,7]",1.00144
theta[122],1.00143
"prob_correct[181,26]",1.00142
"eta[181,26]",1.00142
"prob_correct[180,2]",1.00141
"eta[141,7]",1.00141
"prob_correct[141,7]",1.00141
"eta[180,2]",1.00141
"eta[90,15]",1.00141
"prob_correct[90,15]",1.00141
theta[39],1.0014
"prob_correct[140,22]",1.0014
theta[22],1.0014
"eta[140,22]",1.0014
theta[35],1.00139
theta[9],1.00138
b[10],1.00138
"prob_correct[139,23]",1.00138
"eta[139,23]",1.00138
"eta[35,11]",1.00137
