,R_hat
beta1[27],1.92892
"pi[27,4]",1.87856
"pi[27,3]",1.84343
"pi[28,2]",1.72406
beta12[27],1.70819
"pi[28,3]",1.62865
"pi[28,1]",1.57959
beta0[28],1.57959
beta1[28],1.57249
"pi[27,2]",1.54498
beta2[4],1.53134
beta2[28],1.53091
beta2[23],1.5299
"pi[4,4]",1.52981
"pi[4,2]",1.52981
"pi[20,4]",1.5295
"pi[20,3]",1.5295
"pi[4,1]",1.52936
beta0[4],1.52936
"pi[4,3]",1.52936
"pi[22,4]",1.52932
"pi[22,3]",1.52932
beta1[16],1.52911
"pi[7,1]",1.52911
"pi[7,2]",1.52911
beta0[7],1.52911
beta0[22],1.52896
beta1[6],1.52896
"pi[22,1]",1.52896
"pi[22,2]",1.52896
beta2[2],1.52891
"pi[19,2]",1.5289
"pi[19,1]",1.5289
beta1[20],1.5289
"pi[21,2]",1.5289
"pi[21,1]",1.5289
beta0[21],1.5289
beta0[19],1.5289
"pi[23,4]",1.52886
"pi[23,2]",1.52886
"pi[23,1]",1.52872
beta0[23],1.52872
"pi[23,3]",1.52872
"pi[9,3]",1.5286
"pi[9,4]",1.5286
beta1[7],1.52851
"pi[7,3]",1.52845
"pi[7,4]",1.52845
"pi[10,3]",1.52842
"pi[15,4]",1.52842
"pi[15,2]",1.52842
"pi[10,4]",1.52842
beta1[10],1.52837
beta1[22],1.52836
beta1[11],1.52834
beta2[25],1.52832
beta2[14],1.52825
beta1[19],1.52823
beta2[3],1.52821
"pi[21,4]",1.52817
"pi[21,3]",1.52817
beta2[15],1.52816
"pi[12,3]",1.52809
"pi[12,4]",1.52809
beta2[24],1.52807
"pi[10,2]",1.52805
"pi[10,1]",1.52805
beta0[10],1.52805
beta0[12],1.52804
"pi[12,2]",1.52804
"pi[12,1]",1.52804
beta1[12],1.52801
beta1[9],1.52799
"pi[2,2]",1.52799
"pi[2,4]",1.52799
"pi[9,1]",1.52796
beta0[9],1.52796
"pi[9,2]",1.52796
"pi[24,1]",1.52789
beta0[24],1.52789
"pi[24,3]",1.52789
beta1[5],1.52787
"pi[25,2]",1.52786
"pi[25,4]",1.52786
"pi[14,2]",1.52784
"pi[14,4]",1.52784
beta2[13],1.52782
"pi[20,1]",1.5278
"pi[20,2]",1.5278
beta1[1],1.52778
beta0[25],1.52775
"pi[25,3]",1.52775
"pi[25,1]",1.52775
beta0[20],1.52774
"pi[24,2]",1.52771
"pi[24,4]",1.52771
"pi[11,2]",1.52764
"pi[11,1]",1.52764
beta1[21],1.52764
beta0[11],1.52764
"pi[19,3]",1.52758
"pi[19,4]",1.52758
"pi[14,3]",1.52756
beta0[14],1.52756
"pi[14,1]",1.52756
"pi[13,2]",1.52742
"pi[13,4]",1.52742
beta0[15],1.52741
beta1[17],1.52741
"pi[15,3]",1.52741
"pi[15,1]",1.52741
"pi[11,4]",1.52722
"pi[11,3]",1.52722
beta0[13],1.52708
"pi[13,1]",1.52708
"pi[13,3]",1.52708
"pi[6,4]",1.52701
"pi[6,3]",1.52701
"pi[5,4]",1.52697
"pi[5,3]",1.52697
"pi[2,1]",1.52684
beta0[2],1.52684
"pi[2,3]",1.52684
"pi[17,3]",1.52546
"pi[17,4]",1.52546
"pi[16,3]",1.52521
"pi[16,4]",1.52521
"pi[3,4]",1.52495
"pi[3,2]",1.52495
beta0[16],1.52454
"pi[16,1]",1.52454
"pi[16,2]",1.52454
"pi[3,3]",1.52427
"pi[3,1]",1.52427
beta0[3],1.52427
beta0[5],1.52201
"pi[5,1]",1.52201
"pi[5,2]",1.52201
"pi[1,3]",1.52069
"pi[1,4]",1.52069
beta0[6],1.5203
"pi[6,2]",1.5203
"pi[6,1]",1.5203
"pi[1,1]",1.51389
"pi[1,2]",1.51389
beta0[1],1.51389
"pi[17,2]",1.51345
"pi[17,1]",1.51345
beta0[17],1.51345
beta1[8],1.51228
beta1[18],1.49188
"pi[8,3]",1.45387
"pi[8,4]",1.45387
beta1[26],1.42776
"pi[18,3]",1.406
"pi[18,4]",1.406
"pi[8,2]",1.38034
beta0[8],1.38034
"pi[8,1]",1.38034
beta0[18],1.37393
"pi[18,2]",1.37393
"pi[18,1]",1.37393
beta0[27],1.36217
"pi[27,1]",1.36217
beta2[27],1.35662
beta12[28],1.3216
"pi[26,3]",1.30146
"pi[26,2]",1.26406
beta0[26],1.19771
"pi[26,1]",1.19771
"pi[26,4]",1.18435
lp__,1.1382
beta12[26],1.04813
"pi[28,4]",1.04334
beta2[26],1.02391
beta1[186],1.00325
beta0[107],1.00313
beta12[139],1.00271
beta12[19],1.00271
beta12[174],1.00252
beta12[86],1.00239
beta2[113],1.00231
beta2[150],1.00229
beta1[87],1.00216
beta12[197],1.00216
beta0[104],1.00213
beta12[115],1.0021
beta0[86],1.002
beta1[189],1.002
beta1[29],1.00197
beta12[70],1.00195
beta12[98],1.00194
