,stu,attr1,attr2
0,1,No Mastery of ,No Mastery of 
1,2, Mastery,No Mastery of 
2,3,No Mastery of ,No Mastery of 
3,4,No Mastery of ,No Mastery of 
4,5, Mastery,No Mastery of 
5,6,No Mastery of ,No Mastery of 
6,7, Mastery,No Mastery of 
7,8, Mastery,No Mastery of 
8,9, Mastery,No Mastery of 
9,10, Mastery,No Mastery of 
10,11, Mastery,No Mastery of 
11,12, Mastery,No Mastery of 
12,13, Mastery,No Mastery of 
13,14, Mastery,No Mastery of 
14,15,No Mastery of ,No Mastery of 
15,16, Mastery,No Mastery of 
16,17, Mastery,No Mastery of 
17,18,No Mastery of ,No Mastery of 
18,19, Mastery,No Mastery of 
19,20, Mastery,No Mastery of 
20,21, Mastery,No Mastery of 
21,22, Mastery,No Mastery of 
22,23, Mastery,No Mastery of 
23,24, Mastery,No Mastery of 
24,25,No Mastery of ,No Mastery of 
25,26, Mastery,No Mastery of 
26,27, Mastery,No Mastery of 
27,28, Mastery,No Mastery of 
28,29, Mastery,No Mastery of 
29,30, Mastery,No Mastery of 
30,31, Mastery,No Mastery of 
31,32,No Mastery of ,No Mastery of 
32,33, Mastery,No Mastery of 
33,34, Mastery,No Mastery of 
34,35, Mastery,No Mastery of 
35,36,No Mastery of ,No Mastery of 
36,37, Mastery,No Mastery of 
37,38, Mastery,No Mastery of 
38,39, Mastery,No Mastery of 
39,40, Mastery,No Mastery of 
40,41,No Mastery of ,No Mastery of 
41,42, Mastery,No Mastery of 
42,43,No Mastery of ,No Mastery of 
43,44, Mastery,No Mastery of 
44,45, Mastery,No Mastery of 
45,46, Mastery,No Mastery of 
46,47, Mastery,No Mastery of 
47,48,No Mastery of ,No Mastery of 
48,49, Mastery,No Mastery of 
49,50, Mastery,No Mastery of 
50,51,No Mastery of ,No Mastery of 
51,52, Mastery,No Mastery of 
52,53,No Mastery of ,No Mastery of 
53,54, Mastery,No Mastery of 
54,55, Mastery,No Mastery of 
55,56, Mastery,No Mastery of 
56,57, Mastery,No Mastery of 
57,58,No Mastery of ,No Mastery of 
58,59, Mastery,No Mastery of 
59,60, Mastery,No Mastery of 
60,61, Mastery,No Mastery of 
61,62, Mastery,No Mastery of 
62,63,No Mastery of ,No Mastery of 
63,64,No Mastery of ,No Mastery of 
64,65,No Mastery of ,No Mastery of 
65,66,No Mastery of ,No Mastery of 
66,67,No Mastery of ,No Mastery of 
67,68, Mastery,No Mastery of 
68,69, Mastery,No Mastery of 
69,70,No Mastery of ,No Mastery of 
70,71,No Mastery of ,No Mastery of 
71,72,No Mastery of ,No Mastery of 
72,73, Mastery,No Mastery of 
73,74, Mastery,No Mastery of 
74,75,No Mastery of ,No Mastery of 
75,76, Mastery,No Mastery of 
76,77,No Mastery of ,No Mastery of 
77,78,No Mastery of ,No Mastery of 
78,79,No Mastery of ,No Mastery of 
79,80,No Mastery of ,No Mastery of 
80,81, Mastery,No Mastery of 
81,82, Mastery,No Mastery of 
82,83, Mastery,No Mastery of 
83,84, Mastery,No Mastery of 
84,85, Mastery,No Mastery of 
85,86,No Mastery of ,No Mastery of 
86,87, Mastery,No Mastery of 
87,88, Mastery,No Mastery of 
88,89,No Mastery of ,No Mastery of 
89,90, Mastery,No Mastery of 
90,91, Mastery,No Mastery of 
91,92, Mastery,No Mastery of 
92,93, Mastery,No Mastery of 
93,94, Mastery,No Mastery of 
94,95,No Mastery of ,No Mastery of 
95,96, Mastery,No Mastery of 
96,97,No Mastery of ,No Mastery of 
97,98, Mastery,No Mastery of 
98,99,No Mastery of ,No Mastery of 
99,100, Mastery,No Mastery of 
100,101, Mastery,No Mastery of 
101,102, Mastery,No Mastery of 
102,103,No Mastery of ,No Mastery of 
103,104, Mastery,No Mastery of 
104,105,No Mastery of ,No Mastery of 
105,106,No Mastery of ,No Mastery of 
106,107, Mastery,No Mastery of 
107,108,No Mastery of ,No Mastery of 
108,109,No Mastery of ,No Mastery of 
109,110, Mastery,No Mastery of 
110,111,No Mastery of ,No Mastery of 
111,112,No Mastery of ,No Mastery of 
112,113,No Mastery of ,No Mastery of 
