,stu,attr1,attr2
0,1,Not Proficient in ,Not Proficient in 
1,2, Proficiency,Not Proficient in 
2,3,Not Proficient in ,Not Proficient in 
3,4,Not Proficient in ,Not Proficient in 
4,5, Proficiency,Not Proficient in 
5,6,Not Proficient in ,Not Proficient in 
6,7, Proficiency,Not Proficient in 
7,8, Proficiency,Not Proficient in 
8,9, Proficiency,Not Proficient in 
9,10, Proficiency,Not Proficient in 
10,11, Proficiency,Not Proficient in 
11,12, Proficiency,Not Proficient in 
12,13, Proficiency,Not Proficient in 
13,14, Proficiency,Not Proficient in 
14,15,Not Proficient in ,Not Proficient in 
15,16, Proficiency,Not Proficient in 
16,17, Proficiency,Not Proficient in 
17,18,Not Proficient in ,Not Proficient in 
18,19, Proficiency,Not Proficient in 
19,20, Proficiency,Not Proficient in 
20,21, Proficiency,Not Proficient in 
21,22, Proficiency,Not Proficient in 
22,23, Proficiency,Not Proficient in 
23,24, Proficiency,Not Proficient in 
24,25,Not Proficient in ,Not Proficient in 
25,26, Proficiency,Not Proficient in 
26,27, Proficiency,Not Proficient in 
27,28, Proficiency,Not Proficient in 
28,29, Proficiency,Not Proficient in 
29,30, Proficiency,Not Proficient in 
30,31, Proficiency,Not Proficient in 
31,32,Not Proficient in ,Not Proficient in 
32,33, Proficiency,Not Proficient in 
33,34, Proficiency,Not Proficient in 
34,35, Proficiency,Not Proficient in 
35,36,Not Proficient in ,Not Proficient in 
36,37, Proficiency,Not Proficient in 
37,38, Proficiency,Not Proficient in 
38,39, Proficiency,Not Proficient in 
39,40, Proficiency,Not Proficient in 
40,41,Not Proficient in ,Not Proficient in 
41,42, Proficiency,Not Proficient in 
42,43,Not Proficient in ,Not Proficient in 
43,44, Proficiency,Not Proficient in 
44,45, Proficiency,Not Proficient in 
45,46, Proficiency,Not Proficient in 
46,47, Proficiency,Not Proficient in 
47,48,Not Proficient in ,Not Proficient in 
48,49, Proficiency,Not Proficient in 
49,50, Proficiency,Not Proficient in 
50,51,Not Proficient in ,Not Proficient in 
51,52, Proficiency,Not Proficient in 
52,53,Not Proficient in ,Not Proficient in 
53,54, Proficiency,Not Proficient in 
54,55, Proficiency,Not Proficient in 
55,56, Proficiency,Not Proficient in 
56,57, Proficiency,Not Proficient in 
57,58,Not Proficient in ,Not Proficient in 
58,59, Proficiency,Not Proficient in 
59,60, Proficiency,Not Proficient in 
60,61, Proficiency,Not Proficient in 
61,62, Proficiency,Not Proficient in 
62,63,Not Proficient in ,Not Proficient in 
63,64,Not Proficient in ,Not Proficient in 
64,65,Not Proficient in ,Not Proficient in 
65,66,Not Proficient in ,Not Proficient in 
66,67,Not Proficient in ,Not Proficient in 
67,68, Proficiency,Not Proficient in 
68,69, Proficiency,Not Proficient in 
69,70,Not Proficient in ,Not Proficient in 
70,71,Not Proficient in ,Not Proficient in 
71,72,Not Proficient in ,Not Proficient in 
72,73, Proficiency,Not Proficient in 
73,74, Proficiency,Not Proficient in 
74,75,Not Proficient in ,Not Proficient in 
75,76, Proficiency,Not Proficient in 
76,77,Not Proficient in ,Not Proficient in 
77,78,Not Proficient in ,Not Proficient in 
78,79,Not Proficient in ,Not Proficient in 
79,80,Not Proficient in ,Not Proficient in 
80,81, Proficiency,Not Proficient in 
81,82, Proficiency,Not Proficient in 
82,83, Proficiency,Not Proficient in 
83,84, Proficiency,Not Proficient in 
84,85, Proficiency,Not Proficient in 
85,86,Not Proficient in ,Not Proficient in 
86,87, Proficiency,Not Proficient in 
87,88, Proficiency,Not Proficient in 
88,89,Not Proficient in ,Not Proficient in 
89,90, Proficiency,Not Proficient in 
90,91, Proficiency,Not Proficient in 
91,92, Proficiency,Not Proficient in 
92,93, Proficiency,Not Proficient in 
93,94, Proficiency,Not Proficient in 
94,95,Not Proficient in ,Not Proficient in 
95,96, Proficiency,Not Proficient in 
96,97,Not Proficient in ,Not Proficient in 
97,98, Proficiency,Not Proficient in 
98,99,Not Proficient in ,Not Proficient in 
99,100, Proficiency,Not Proficient in 
100,101, Proficiency,Not Proficient in 
101,102, Proficiency,Not Proficient in 
102,103,Not Proficient in ,Not Proficient in 
103,104, Proficiency,Not Proficient in 
104,105,Not Proficient in ,Not Proficient in 
105,106,Not Proficient in ,Not Proficient in 
106,107, Proficiency,Not Proficient in 
107,108,Not Proficient in ,Not Proficient in 
108,109,Not Proficient in ,Not Proficient in 
109,110, Proficiency,Not Proficient in 
110,111,Not Proficient in ,Not Proficient in 
111,112,Not Proficient in ,Not Proficient in 
112,113,Not Proficient in ,Not Proficient in 
