,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-1128.64,0.0624107,3.45112,3.33348,-1134.96,-1128.25,-1123.64,3130.61,4378.62,14.7298,1.00095
nu[1],0.311551,0.000797306,0.0707768,0.070607,0.199034,0.31022,0.430988,7962.61,6992.37,37.4648,1.00004
nu[2],0.0261224,0.000277304,0.0242472,0.019323,0.00138476,0.0191183,0.0746572,5256.93,3182.69,24.7343,1.00042
nu[3],0.111012,0.000817061,0.0656056,0.0683843,0.0145068,0.105875,0.230303,5555.71,3507.44,26.1401,1.00059
nu[4],0.0979262,0.000568302,0.0468476,0.0469927,0.0267944,0.0942905,0.181469,6009.75,3361.78,28.2764,1.0013
nu[5],0.0226724,0.000196322,0.0200339,0.016423,0.00149236,0.0171282,0.0625438,7656.24,3908.35,36.0233,1.00027
nu[6],0.204172,0.00150391,0.123362,0.151098,0.0196699,0.19744,0.406521,5761.12,3772.3,27.1066,1.00035
nu[7],0.0228483,0.000191168,0.0203141,0.0167741,0.001409,0.0171382,0.064107,8460.1,4418.28,39.8055,1.00076
nu[8],0.203695,0.00152222,0.123575,0.150283,0.017144,0.200449,0.406742,6029.59,4205.48,28.3697,1.00015
tp[1],0.703285,0.000511473,0.0533814,0.0532929,0.613773,0.703759,0.789614,10882.0,6018.7,51.2007,1.00045
tp[2],0.798202,0.000485299,0.0491935,0.0503071,0.715622,0.799303,0.876977,10193.6,5648.76,47.9618,0.999814
tp[3],0.815081,0.00052747,0.050798,0.0516274,0.728394,0.817167,0.895112,9114.57,5779.54,42.8848,1.00027
tp[4],0.668939,0.000454031,0.0468266,0.0474259,0.590621,0.669397,0.745275,10642.7,6018.38,50.0747,1.00045
tp[5],0.799917,0.000670569,0.0780639,0.0768703,0.656041,0.807551,0.913738,12628.8,5217.26,59.4195,1.00034
tp[6],0.746865,0.000529023,0.0534647,0.0544259,0.657927,0.747894,0.832062,10134.1,5385.34,47.6818,1.00092
tp[7],0.804487,0.000483854,0.0478589,0.0484479,0.724931,0.805326,0.882012,9687.26,4952.21,45.5794,1.00041
fp[1],0.289313,0.000450147,0.0455391,0.0456685,0.214373,0.288785,0.364381,10227.3,5675.8,48.1202,1.00023
fp[2],0.192902,0.000575452,0.0536633,0.0543092,0.106736,0.190936,0.284354,8466.05,4856.14,39.8335,1.00064
fp[3],0.216024,0.000465183,0.0472968,0.0478448,0.141076,0.214639,0.294724,10257.2,5596.25,48.2608,1.00075
fp[4],0.201744,0.00073979,0.0688815,0.0715387,0.0925482,0.19909,0.320303,8543.18,5669.15,40.1964,1.00028
fp[5],0.430764,0.000278685,0.032747,0.0324433,0.377072,0.430387,0.485616,13915.2,5519.79,65.4721,1.00079
fp[6],0.199909,0.00046231,0.045352,0.0448723,0.127192,0.19839,0.277434,9544.97,5523.88,44.9099,1.00036
fp[7],0.236534,0.000534529,0.0534914,0.0555472,0.149149,0.236404,0.324983,9956.45,5200.35,46.8459,1.00057
"delta[1,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[1,2]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[1,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[1,4]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[1,5]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[1,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[1,7]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[1,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[2,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[2,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[2,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[2,4]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[2,5]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[2,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[2,7]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[2,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[3,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[3,2]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[3,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[3,4]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[3,5]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[3,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[3,7]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[3,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[4,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[4,2]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[4,3]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[4,4]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[4,5]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[4,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[4,7]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[4,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[5,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[5,2]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[5,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[5,4]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[5,5]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[5,6]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[5,7]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[5,8]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[6,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[6,2]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[6,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[6,4]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[6,5]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[6,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[6,7]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[6,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[7,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[7,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[7,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[7,4]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[7,5]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[7,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[7,7]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[7,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"pi[1,1]",0.289313,0.000450147,0.0455391,0.0456685,0.214373,0.288785,0.364381,10227.3,5675.8,48.1202,1.00023
"pi[1,2]",0.289313,0.000450147,0.0455391,0.0456685,0.214373,0.288785,0.364381,10227.3,5675.8,48.1202,1.00023
"pi[1,3]",0.289313,0.000450147,0.0455391,0.0456685,0.214373,0.288785,0.364381,10227.3,5675.8,48.1202,1.00023
