,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-202.066,0.0628551,3.49134,3.44295,-208.349,-201.775,-196.903,3041.33,4672.11,427.453,1.00094
nu[1],0.124377,0.00101025,0.109331,0.093902,0.0072346,0.0938015,0.351684,9041.34,4096.74,1270.74,1.00066
nu[2],0.125986,0.000933927,0.110321,0.0944354,0.00766878,0.0949512,0.352895,10257.8,4981.19,1441.72,1.00003
nu[3],0.125672,0.00107303,0.111996,0.0929732,0.00763426,0.0948713,0.351447,9160.16,4670.15,1287.44,1.00003
nu[4],0.123759,0.000965445,0.110467,0.0928173,0.00712235,0.0918878,0.346951,9572.0,4219.19,1345.33,0.9997
nu[5],0.124248,0.00097244,0.10808,0.0917587,0.00855353,0.094401,0.342698,9244.84,4367.52,1299.35,0.999918
nu[6],0.124819,0.00103094,0.111366,0.0959823,0.0070418,0.0955047,0.353826,8822.26,4634.91,1239.95,1.00097
nu[7],0.127002,0.000975973,0.113537,0.0948978,0.0073753,0.0945484,0.355876,10368.0,4535.85,1457.2,0.999955
nu[8],0.124138,0.000958391,0.109054,0.0931567,0.00745288,0.0953934,0.346152,10272.4,4584.62,1443.77,1.00018
tp[1],0.798892,0.000676454,0.0783008,0.078492,0.65676,0.807257,0.914706,12928.8,5849.77,1817.12,1.00008
tp[2],0.800276,0.000684504,0.0776929,0.0784165,0.659772,0.808348,0.9124,12436.3,5416.33,1747.89,0.999876
tp[3],0.799617,0.000716242,0.0798125,0.080206,0.654304,0.808944,0.914862,12120.6,5805.87,1703.53,0.999918
tp[4],0.799692,0.000743943,0.0782602,0.0768861,0.655568,0.807184,0.911907,10947.9,5552.96,1538.7,0.999953
tp[5],0.800883,0.000685971,0.0765445,0.0757448,0.665102,0.808128,0.912709,11829.4,5620.73,1662.6,1.0004
tp[6],0.799383,0.000704878,0.079201,0.0794045,0.656219,0.807392,0.914926,12245.6,5110.6,1721.09,1.00068
tp[7],0.800168,0.000720355,0.0782971,0.0774399,0.659567,0.807594,0.915243,11364.8,5118.44,1597.3,1.00141
fp[1],0.199448,0.000676408,0.0784504,0.0772576,0.0857104,0.191344,0.342553,13044.1,5592.57,1833.32,1.00008
fp[2],0.198597,0.000736703,0.0771609,0.0775598,0.0863443,0.190445,0.337732,10341.6,5509.96,1453.5,1.00136
fp[3],0.200566,0.000681402,0.0771079,0.0761259,0.086572,0.19438,0.337197,12455.9,5811.74,1750.66,1.00007
fp[4],0.19975,0.0006872,0.0783154,0.0778766,0.0871679,0.19241,0.341024,12623.6,6075.84,1774.22,1.00098
fp[5],0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
fp[6],0.200889,0.000684476,0.0810191,0.0801916,0.0837773,0.191175,0.349141,13532.3,5347.08,1901.94,1.0007
fp[7],0.199856,0.000726897,0.0791453,0.0775694,0.0844894,0.191177,0.342926,11200.4,5602.03,1574.2,1.00102
"delta[1,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[1,2]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[1,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[1,4]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[1,5]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[1,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[1,7]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[1,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[2,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[2,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
