,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16
0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1
3,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1
4,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
5,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
10,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
11,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
12,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0
13,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
15,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1
16,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1
17,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
18,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
19,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1
20,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
21,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
23,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
24,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1
25,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
26,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
28,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
29,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
32,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0
33,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
34,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
35,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
37,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
38,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
39,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0
40,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
41,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
42,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
43,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
44,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0
45,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1
46,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
49,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
51,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
54,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1
55,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
56,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
57,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1
58,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
59,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
60,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1
61,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
62,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
63,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1
64,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
66,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1
67,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
68,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
69,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
70,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
71,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0
72,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
73,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
74,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
75,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1
76,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
77,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
79,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1
80,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
81,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
82,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1
85,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
86,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
87,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1
88,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
90,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
91,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
92,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1
93,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
94,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
95,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1
96,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1
97,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
98,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1
99,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
100,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0
101,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1
102,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1
103,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
104,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
105,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
106,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
107,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0
110,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
111,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0
112,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
113,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
114,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
115,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1
116,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1
117,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
118,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
119,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1
120,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1
121,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
122,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1
124,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
127,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
132,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1
133,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
134,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
136,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
137,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
138,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1
139,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
140,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
141,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
142,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
143,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
144,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0
145,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
146,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
147,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
148,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
149,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
150,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
151,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
152,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
153,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0
154,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
155,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
156,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
157,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
158,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1
159,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1
160,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0
161,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
162,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
163,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
164,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
165,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1
166,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1
167,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
168,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
169,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
170,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1
171,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
172,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1
173,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
174,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0
175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
177,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
178,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
179,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
180,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1
181,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
182,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1
183,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
184,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
185,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0
186,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
187,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0
188,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
189,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1
