,attr1,attr2,attr3,attr4,attr1_avg,attr2_avg,attr3_avg,attr4_avg,attr1_name,attr2_name,attr3_name,attr4_name
1,1.0,1.0,1.0,0.0,0.99967283856,0.9299995768575,0.981739942445,0.77338911518,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
2,1.0,1.0,1.0,0.0,0.99967283856,0.9299995768575,0.981739942445,0.77338911518,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
3,0.0,1.0,1.0,0.0,0.33396730999425,0.80111361773,0.9722688132949999,0.6992603121075,Did not meet proficiency of Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
4,1.0,0.0,0.0,0.0,0.99722065754,0.4913283999625,0.0059463905226225,0.5545729108675,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
5,0.0,0.0,0.0,0.0,0.0141878338250425,0.37513127242825,0.066067796513175,0.34244014377525,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
6,1.0,1.0,1.0,0.0,0.9979192272574999,0.897845980705,0.9974242462024999,0.7691973402025,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
7,0.0,0.0,0.0,0.0,4.3193140597449994e-05,0.0298010912757,0.00104598611342825,0.34560727566925,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
8,1.0,1.0,1.0,0.0,0.9990248292725,0.9040881435725,0.9920791733900001,0.7694366057175,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
9,1.0,1.0,1.0,0.0,0.99970390305,0.9290749617599999,0.9983101704949999,0.77671039287,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
10,1.0,1.0,0.0,0.0,0.9991905040125,0.9442761804174999,0.7134391008975,0.71809960664,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
11,1.0,1.0,1.0,0.0,0.999231304765,0.867642085975,0.8953279032775,0.7472390730974999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
12,1.0,1.0,1.0,0.0,0.995501989725,0.912552996065,0.9945828586375,0.750669479555,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
13,1.0,0.0,0.0,0.0,0.8470162021150001,0.766979865475,0.39879474940875004,0.5314422702524999,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
14,1.0,1.0,1.0,0.0,0.999186568235,0.9147753204325001,0.99832902622,0.7732549798674999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
15,1.0,1.0,0.0,0.0,0.9987054804525,0.92051619881,0.7682443452775,0.7271276020799999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
16,1.0,1.0,1.0,0.0,0.97974166551,0.85665900428,0.9819320929174999,0.7341508075850001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
17,1.0,1.0,1.0,0.0,0.979923334945,0.8243942838775,0.9871110558375,0.755413133175,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
18,1.0,1.0,1.0,0.0,0.9993610722424999,0.922127356825,0.9818484268050001,0.771523008955,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
19,1.0,1.0,1.0,0.0,0.9968259098875,0.91878962835,0.9982474906700001,0.753230873305,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
20,1.0,1.0,1.0,0.0,0.9571265932225,0.8678495506275,0.8832670292425,0.7215738418975,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
21,1.0,1.0,1.0,0.0,0.9991703326175,0.9150142532425,0.9948335160475,0.772567662475,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
22,1.0,1.0,0.0,0.0,0.9797831844825,0.9432220840875,0.632872036525,0.7053820160275,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
23,1.0,1.0,1.0,0.0,0.9994545764575,0.9269964362174999,0.8485944464699999,0.7449431822775,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
24,1.0,1.0,1.0,0.0,0.9996849897450001,0.902178313785,0.97399709706,0.7664110678475,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
25,0.0,1.0,1.0,0.0,0.744137639245,0.9295834190750001,0.9644756464475001,0.729069445565,Did not meet proficiency of Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
26,1.0,1.0,1.0,0.0,0.9996950782875,0.9240220331025,0.9920383983175,0.7742208419925001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
27,1.0,1.0,1.0,0.0,0.9977788210249999,0.8833390493975001,0.9858228939425,0.763556256755,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
28,1.0,1.0,1.0,0.0,0.9997043611374999,0.9238957221724999,0.9974128790800001,0.775298843705,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
29,1.0,1.0,1.0,0.0,0.996811004215,0.9017719444725,0.9893202665049999,0.7691836937550001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
30,0.0,0.0,0.0,0.0,0.00011037047475540001,0.081219812100125,0.553632295955,0.337486318046,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
